RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Montel Jackson,Daniel Marcos,Red,Montel Jackson,Bantamweight,MALE,DEC,No Finish,9,4,1,4,2,5,1,0,4,0,177.8,170.18,190.5,175.26,3.22,3.24,0.53,0.4,5.11,0.99,0.53,0.0,Southpaw,Orthodox,135,33,0,4,2,3,1,0,7.6200000000000045,15.240000000000009,1,-1.8900000000000001,0.0,2.25,0.4,2,0,8.33,0.53,0.4444444444444444,0.2,0.1111111111111111,0.0,0.4444444444444444,0.8,2.272727272727273,3.2,0.2444444444444444,0.1111111111111111,-0.3555555555555556,-0.9272727272727272,6,1571.1953016178293,1554.7693175712595,16.425984046569738,1511.3235699526074,1534.696487500772,-23.37291754816465,1.41,3.7,-2.29,0.35555555555555557,5.11,0.3222222222222222,0.05555555555555555,0.6222222222222222,32.5,5.0,5,5,3.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,32,1.75,-0.18181818181818177,1.0,0.8181818181818182,0.0,0.0,1.0,135,25,16,-250.0,205.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Cameron Smotherman,Serhiy Sidey,Blue,Serhiy Sidey,Bantamweight,MALE,DEC,No Finish,1,0,0,1,1,2,1,0,1,1,175.26,180.34,175.26,182.88,5.1,0.0,0.39,0.0,4.49,1.58,0.39,1.3,Orthodox,Switch,135,27,0,-1,0,-1,0,0,-5.0800000000000125,-7.6200000000000045,-1,0.6099999999999994,0.0,-1.58,-1.3,5,1,9.59,0.39,0.0,0.5,0.0,0.0,1.0,0.5,2.0,2.3333333333333335,-0.5,0.0,0.5,-0.3333333333333335,-1,1515.1304440169486,1500.5608705080756,14.569573508872963,1501.7911697848233,1508.2125178062859,-6.421348021462563,13.0,4.52,8.48,-0.5,17.52,0.25,0.0,0.75,27.5,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,0.0,-0.16666666666666663,0.6666666666666666,0.5,0.0,0.0,-1.0,135,4,7,118.0,-140.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jeremy Stephens,Mason Jones,Blue,Mason Jones,Lightweight,MALE,DEC,No Finish,15,8,0,7,18,1,0,0,1,2,175.26,177.8,180.34,187.96,3.15,1.11,0.4,0.4,5.56,4.24,0.41,0.0,Orthodox,Orthodox,155,38,0,14,16,8,0,6,-2.5400000000000205,-7.6200000000000045,8,-2.4099999999999997,-0.009999999999999953,-3.13,0.4,5,1,8.709999999999999,0.405,0.5333333333333333,0.0,0.0,0.0,0.4666666666666667,1.0,2.606060606060606,3.6666666666666665,0.5333333333333333,0.0,-0.5333333333333333,-1.0606060606060606,30,1455.0067454107595,1513.895889466547,-58.88914405578748,1506.4286182765636,1493.852995199862,12.575623076701504,3.05,4.94,-1.8900000000000006,0.5333333333333333,7.99,0.26666666666666666,0.0,0.7333333333333334,34.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,30,0.0,0.12121212121212122,0.3333333333333333,0.45454545454545453,1.0,1.0,0.0,155,86,11,460.0,-650.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Yana Santos,Miesha Tate,Red,Yana Santos,Women's Bantamweight,FEMALE,DEC,No Finish,5,0,0,5,5,13,1,5,7,8,167.64,167.64,172.72,165.1,4.42,0.87,0.58,0.1,2.62,1.97,0.44,1.2,Orthodox,Orthodox,135,35,0,-8,-3,-1,-5,-2,0.0,7.6200000000000045,-3,1.7999999999999998,0.13999999999999996,-1.1,-1.0999999999999999,2,0,7.04,0.51,0.0,0.07692307692307693,0.0,0.38461538461538464,1.0,0.5384615384615384,2.6,2.9523809523809526,-0.07692307692307693,-0.38461538461538464,0.46153846153846156,-0.35238095238095246,-11,1491.7472740374405,1503.2259058620714,-11.478631824630838,1501.829885814356,1507.0542207231415,-5.224334908785522,3.03,2.98,0.04999999999999982,-0.46153846153846156,6.01,0.038461538461538464,0.19230769230769232,0.7692307692307692,36.5,1.0,1,1,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,38,-5.0,-0.11904761904761907,0.6190476190476191,0.5,0.0,0.0,0.0,135,26,62,135.0,-160.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Ryan Loder,Azamat Bekoev,Blue,Azamat Bekoev,Middleweight,MALE,KO/TKO,Punch,1,1,0,0,0,1,1,0,0,0,187.96,182.88,193.04,182.88,5.76,1.57,0.71,1.6,7.59,2.59,0.61,0.0,Southpaw,Orthodox,185,33,0,0,0,0,0,0,5.0800000000000125,10.159999999999997,4,-1.83,0.09999999999999998,-1.0199999999999998,1.6,3,1,13.35,0.6599999999999999,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0,1520.0,1520.828923819716,-0.8289238197160103,1510.414461909858,1517.2040677250463,-6.789605815188452,3.7387198849334777,3.954347509996365,-0.22214285714285714,0.0,7.675875093492895,1.0,0.0,0.0,31.0,1.0,1,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,185,2,1,275.0,-350.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Marina Rodriguez,Gillian Robertson,Blue,Gillian Robertson,Women's Strawweight,FEMALE,KO/TKO,Punches,8,3,0,5,5,12,2,7,3,6,167.64,165.1,165.1,160.02,4.51,0.27,0.46,0.3,2.86,2.74,0.48,0.9,Orthodox,Orthodox,115,38,-3,-4,-1,1,-7,2,2.539999999999992,5.079999999999984,9,1.65,-0.019999999999999962,-2.47,-0.6000000000000001,3,1,7.369999999999999,0.47,0.375,0.16666666666666666,0.0,0.5833333333333334,0.625,0.25,3.4615384615384617,2.2222222222222223,0.20833333333333334,-0.5833333333333334,0.375,1.2393162393162394,-5,1524.2807579522434,1552.0991710548024,-27.818413102558907,1521.389215025236,1509.7463766871674,11.642838338068486,2.89,3.21,-0.31999999999999984,-0.375,6.1,0.2708333333333333,0.2916666666666667,0.4375,33.5,1.5,0,3,2.0,3.0,1.0,0.0,4.0,1.0,0.0,4.0,29,-1.0,-0.05128205128205121,0.6666666666666666,0.6153846153846154,0.0,0.0,0.0,115,45,40,215.0,-265.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Thomas Petersen,Don'Tale Mayes,Red,Thomas Petersen,Heavyweight,MALE,DEC,No Finish,2,0,1,1,2,6,4,0,2,7,185.42,198.12,187.96,205.74,3.74,4.42,0.59,0.6,3.22,0.59,0.43,0.0,Southpaw,Orthodox,264,30,0,-4,-5,-4,1,-1,-12.700000000000017,-17.78,-3,0.52,0.15999999999999998,3.83,0.6,2,0,6.960000000000001,0.51,0.0,0.6666666666666666,0.5,0.0,0.5,0.3333333333333333,2.25,2.6923076923076925,-0.6666666666666666,0.5,0.16666666666666669,-0.4423076923076925,-9,1482.8042792956992,1497.43834394252,-14.634064646820889,1511.0763843427223,1499.7954358100728,11.280948532649518,2.45,3.84,-1.3899999999999997,-0.16666666666666663,6.29,0.3333333333333333,0.25,0.41666666666666663,31.5,0.0,0,0,0.0,2.5,1.0,0.0,1.0,0.0,2.0,3.0,33,-2.5,0.038461538461538436,0.46153846153846156,0.5,1.0,-2.0,-2.0,260,9,35,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Juliana Miller,Ivana Petrovic,Red,Juliana Miller,Women's Flyweight,FEMALE,DEC,No Finish,1,1,0,0,2,1,0,1,0,2,170.18,172.72,167.64,177.8,2.73,2.2,0.44,1.3,1.91,2.12,0.41,0.8,Orthodox,Southpaw,125,28,0,0,0,1,-1,0,-2.539999999999992,-10.160000000000025,-2,0.8200000000000001,0.030000000000000027,0.08000000000000007,0.5,2,0,4.64,0.425,1.0,0.0,0.0,1.0,0.0,0.0,2.3333333333333335,3.0,1.0,-1.0,0.0,-0.6666666666666665,0,1483.8993216697072,1486.1787969226905,-2.279475252983275,1496.5446992306727,1483.1475995619924,13.397099668680312,4.75,2.73,2.02,0.0,7.48,0.5,0.5,0.0,29.0,0.0,0,0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,30,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,-1.0,125,7,9,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Ian Machado Garry,Carlos Prates,Red,Ian Machado Garry,Welterweight,MALE,DEC,No Finish,8,3,0,5,1,5,5,0,0,0,190.5,185.42,187.96,198.12,4.77,1.02,0.54,0.4,3.6,0.25,0.54,0.0,Orthodox,Switch,170,27,-5,3,1,-2,0,5,5.0800000000000125,-10.159999999999997,-4,1.1699999999999995,0.0,0.77,0.4,2,0,8.37,0.54,0.375,1.0,0.0,0.0,0.625,0.0,2.7777777777777777,1.6,-0.625,0.0,0.625,1.1777777777777776,4,1564.5098358779326,1578.3457586524687,-13.83592277453613,1543.1496246284703,1531.3794773876057,11.770147240864617,3.7387198849334777,3.69,-0.22214285714285714,-0.625,7.675875093492895,0.6875,0.0,0.3125,29.0,2.5,0,5,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,31,-3.0,-0.11111111111111116,1.0,0.8888888888888888,0.0,0.0,1.0,170,25,8,-175.0,145.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Giga Chikadze,David Onama,Blue,David Onama,Featherweight,MALE,DEC,No Finish,8,3,0,5,3,5,2,1,2,2,182.88,180.34,187.96,187.96,3.82,0.19,0.42,0.2,5.24,1.08,0.5,0.5,Orthodox,Orthodox,145,36,-3,3,1,1,-1,3,2.539999999999992,0.0,6,-1.4200000000000004,-0.08000000000000002,-0.8900000000000001,-0.3,5,1,9.06,0.45999999999999996,0.375,0.4,0.0,0.2,0.625,0.4,2.8181818181818183,2.4285714285714284,-0.025000000000000022,-0.2,0.22499999999999998,0.38961038961038996,4,1578.5747580434102,1552.7237961655976,25.85096187781255,1522.3343997409866,1513.436580891581,8.897818849405667,3.44,5.48,-2.0400000000000005,-0.22499999999999998,8.92,0.3875,0.1,0.5125,33.0,1.5,0,3,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,30,0.0,0.012987012987012991,0.7142857142857143,0.7272727272727273,0.0,0.0,1.0,145,31,17,180.0,-220.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Michel Pereira,Abus Magomedov,Blue,Abus Magomedov,Middleweight,MALE,DEC,No Finish,9,2,3,4,3,3,1,1,1,2,185.42,187.96,185.42,198.12,4.5,1.14,0.52,0.7,3.21,2.65,0.48,0.2,Orthodox,Orthodox,185,31,-2,6,1,1,2,3,-2.5400000000000205,-12.700000000000017,-3,1.29,0.040000000000000036,-1.51,0.49999999999999994,5,1,7.71,0.5,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,2.5,2.4,-0.1111111111111111,0.0,0.1111111111111111,0.10000000000000009,7,1560.2975591430175,1516.2884874975728,44.00907164544469,1509.8567557391516,1526.6912959995307,-16.83454026037907,3.74,5.36,-1.62,-0.11111111111111105,9.100000000000001,0.2777777777777778,0.3333333333333333,0.38888888888888884,32.5,1.0,0,2,3.0,3.3333333333333335,1.0,0.0,1.0,1.0,0.0,1.0,34,-0.3333333333333335,0.15000000000000002,0.6,0.75,0.0,0.0,0.0,185,30,12,-130.0,110.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Randy Brown,Nicolas Dalby,Red,Randy Brown,Welterweight,MALE,KO/TKO,Punch,13,3,3,7,6,7,1,0,6,4,190.5,180.34,198.12,187.96,4.47,0.79,0.47,0.6,4.05,0.98,0.43,0.1,Orthodox,Orthodox,170,34,0,6,2,2,3,1,10.159999999999997,10.159999999999997,-6,0.41999999999999993,0.03999999999999998,-0.18999999999999995,0.5,0,0,8.52,0.44999999999999996,0.23076923076923078,0.14285714285714285,0.23076923076923078,0.0,0.5384615384615384,0.8571428571428571,2.4210526315789473,3.272727272727273,0.08791208791208793,0.23076923076923078,-0.31868131868131866,-0.8516746411483256,8,1572.0873112168204,1551.6133688478292,20.473942368991175,1521.054390261078,1523.1748530334685,-2.1204627723905105,3.33,3.43,-0.10000000000000009,0.3186813186813187,6.76,0.18681318681318682,0.11538461538461539,0.6978021978021978,37.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,40,0.0,0.04784688995215314,0.6363636363636364,0.6842105263157895,1.0,0.0,-1.0,170,46,36,-330.0,260.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Ikram Aliskerov,Andre Muniz,Red,Ikram Aliskerov,Middleweight,MALE,KO/TKO,Punches,3,2,1,0,1,8,0,4,4,2,182.88,185.42,193.04,198.12,7.76,1.14,0.62,1.1,2.04,4.02,0.49,1.2,Southpaw,Southpaw,185,32,-1,-5,-1,2,-3,-4,-2.539999999999992,-5.0800000000000125,-3,5.72,0.13,-2.88,-0.09999999999999987,0,0,9.8,0.5549999999999999,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.5,1.0,2.1,0.6666666666666666,-0.16666666666666669,-0.5,-1.1,-6,1518.024188536979,1528.4087740099253,-10.384585472946355,1513.2733708777214,1521.2328341482048,-7.959463270483411,7.15,2.03,5.120000000000001,0.5,9.18,0.3333333333333333,0.41666666666666663,0.25,33.5,0.5,0,1,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,35,2.0,-0.050000000000000044,0.8,0.75,0.0,-1.0,0.0,185,4,21,-450.0,350.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Matt Schnell,Jimmy Flick,Red,Matt Schnell,Flyweight,MALE,DEC,No Finish,6,0,3,3,7,3,0,3,0,3,172.72,170.18,177.8,172.72,4.13,0.49,0.4,1.2,1.67,2.36,0.5,3.5,Orthodox,Orthodox,125,35,0,3,4,0,0,3,2.539999999999992,5.0800000000000125,1,2.46,-0.09999999999999998,-1.8699999999999999,-2.3,2,0,5.8,0.45,0.0,0.0,0.5,1.0,0.5,0.0,2.0,2.0,0.0,-0.5,0.5,0.0,7,1459.5230065372439,1470.8574873865716,-11.334480849327747,1506.4739123461734,1491.3221100905514,15.151802255621988,4.46,5.05,-0.5899999999999999,-0.5,9.51,0.0,0.75,0.25,34.5,0.0,0,0,3.3333333333333335,5.0,2.0,2.0,1.0,2.0,0.0,1.0,34,-1.6666666666666665,-0.038461538461538436,0.5,0.46153846153846156,0.0,2.0,0.0,125,26,12,-155.0,130.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Chris Gutierrez,John Castaneda,Red,Chris Gutierrez,Featherweight,MALE,DEC,No Finish,9,3,0,6,3,5,1,1,3,3,175.26,167.64,170.18,180.34,4.59,0.24,0.58,0.1,4.42,1.68,0.5,0.1,Orthodox,Switch,135,34,1,4,0,2,-1,3,7.6200000000000045,-10.159999999999997,1,0.16999999999999993,0.07999999999999996,-1.44,0.0,2,0,9.01,0.54,0.3333333333333333,0.2,0.0,0.2,0.6666666666666666,0.6,3.0,2.625,0.1333333333333333,-0.2,0.06666666666666665,0.375,4,1575.087742734132,1511.4315397129217,63.65620302121033,1507.819553282661,1513.0542868054595,-5.234733522798479,2.73,4.99,-2.2600000000000002,-0.06666666666666671,7.720000000000001,0.26666666666666666,0.1,0.6333333333333333,33.5,0.5,1,0,2.0,2.5,0.0,0.0,2.0,1.0,0.0,2.0,33,-0.5,0.125,0.625,0.75,-1.0,0.0,0.0,135,36,21,-155.0,130.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Da'Mon Blackshear,Alatengheili,Red,Da'Mon Blackshear,Bantamweight,MALE,DEC,No Finish,4,1,3,0,3,5,1,0,4,2,177.8,165.1,182.88,167.64,4.7,1.56,0.46,1.6,2.82,1.74,0.32,0.0,Switch,Orthodox,135,30,1,-1,1,0,3,-4,12.700000000000017,15.240000000000009,-3,1.8800000000000003,0.14,-0.17999999999999994,1.6,2,0,7.52,0.39,0.25,0.2,0.75,0.0,0.0,0.8,2.2857142857142856,3.142857142857143,0.04999999999999999,0.75,-0.8,-0.8571428571428572,0,1511.8855036052144,1534.419324803437,-22.53382119822254,1514.5438199325918,1515.4681051888501,-0.9242852562583721,4.09,5.03,-0.9400000000000004,0.8,9.120000000000001,0.225,0.375,0.4,31.5,1.5,2,1,5.0,1.6666666666666667,1.0,0.0,2.0,0.0,0.0,1.0,33,3.333333333333333,-0.1428571428571429,0.7142857142857143,0.5714285714285714,1.0,0.0,1.0,135,16,22,-107.6150253016738,400.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Malcolm Wellmaker,Cameron Saaiman,Red,Malcolm Wellmaker,Bantamweight,MALE,KO/TKO,Punch,1,1,0,0,0,4,3,0,1,2,177.8,172.72,180.34,170.18,5.82,0.0,0.61,0.0,5.3,0.89,0.46,0.7,Switch,Southpaw,135,30,1,-3,-2,-2,0,-1,5.0800000000000125,10.159999999999997,6,0.5200000000000005,0.14999999999999997,-0.89,-0.7,0,0,11.120000000000001,0.535,1.0,0.75,0.0,0.0,0.0,0.25,1.0,2.5,0.25,0.0,-0.25,-1.5,-5,1500.0,1512.2989620693702,-12.29896206937019,1512.2989620693702,1504.9894592283345,7.309502841035737,3.7387198849334777,3.24,-0.22214285714285714,0.25,7.675875093492895,0.875,0.0,0.125,27.0,0.5,1,0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,24,-5.0,0.33333333333333337,0.6666666666666666,1.0,-1.0,0.0,-1.0,135,1,15,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jaqueline Amorim,Polyana Viana,Red,Jaqueline Amorim,Women's Strawweight,FEMALE,SUB,Rear Naked Choke,3,1,2,0,1,4,1,3,0,6,160.02,165.1,172.72,170.18,2.68,2.22,0.53,4.8,2.74,0.75,0.4,1.7,Orthodox,Orthodox,115,29,3,-1,-5,0,-1,0,-5.079999999999984,2.539999999999992,-3,-0.06000000000000005,0.13,1.4700000000000002,3.0999999999999996,1,0,5.42,0.465,0.3333333333333333,0.25,0.6666666666666666,0.75,0.0,0.0,2.0,1.8,0.08333333333333331,-0.08333333333333337,0.0,0.19999999999999996,-6,1531.2537898606215,1484.0908502204968,47.162939640124705,1504.2843732972053,1503.5237090247128,0.7606642724924768,1.81,2.63,-0.8199999999999998,0.0,4.4399999999999995,0.29166666666666663,0.7083333333333333,0.0,30.5,1.5,3,0,5.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,32,0.0,0.35,0.4,0.75,-1.0,-2.0,0.0,115,8,18,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Chelsea Chandler,Joselyne Edwards,Blue,Joselyne Edwards,Women's Bantamweight,FEMALE,KO/TKO,Punches,2,1,0,1,2,5,0,1,4,4,172.72,172.72,172.72,177.8,3.55,0.87,0.45,0.0,4.62,1.31,0.53,0.6,Southpaw,Orthodox,135,34,-1,-3,-2,1,-1,-3,0.0,-5.0800000000000125,5,-1.0700000000000003,-0.08000000000000002,-0.44000000000000006,-0.6,3,1,8.17,0.49,0.5,0.0,0.0,0.2,0.5,0.8,2.5,3.0,0.5,-0.2,-0.30000000000000004,-0.5,-5,1503.562777793941,1513.1522280543597,-9.589450260418744,1506.243534146201,1498.0825013637577,8.161032782443272,3.06,3.36,-0.2999999999999998,0.3,6.42,0.25,0.1,0.65,31.5,0.5,0,1,2.5,1.0,0.0,0.0,2.0,0.0,0.0,3.0,29,1.5,-0.05555555555555558,0.5555555555555556,0.5,0.0,0.0,-1.0,135,10,27,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Alexander Volkanovski,Diego Lopes,Red,Alexander Volkanovski,Featherweight,MALE,DEC,No Finish,13,5,0,8,3,5,2,1,2,2,167.64,180.34,180.34,182.88,6.18,1.67,0.56,0.2,3.7,0.35,0.47,1.9,Orthodox,Orthodox,145,36,-5,8,1,3,-1,6,-12.700000000000017,-2.539999999999992,6,2.4799999999999995,0.09000000000000008,1.3199999999999998,-1.7,2,0,9.879999999999999,0.515,0.38461538461538464,0.4,0.0,0.2,0.6153846153846154,0.4,3.3125,2.142857142857143,-0.015384615384615385,-0.2,0.2153846153846154,1.1696428571428572,9,1530.028251187891,1570.3097297574227,-40.2814785695316,1552.3049334515317,1528.5051693150886,23.799764136443173,3.42,4.91,-1.4900000000000002,-0.21538461538461534,8.33,0.39230769230769236,0.1,0.5076923076923077,33.0,2.5,0,5,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,30,-1.0,0.0982142857142857,0.7142857142857143,0.8125,2.0,0.0,0.0,145,53,15,-150.0,125.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Michael Chandler,Paddy Pimblett,Blue,Paddy Pimblett,Lightweight,MALE,KO/TKO,Elbows,4,3,1,0,4,6,1,3,2,0,172.72,177.8,180.34,185.42,4.04,1.96,0.49,0.6,5.19,0.96,0.53,1.7,Orthodox,Orthodox,155,38,-6,-2,4,2,-2,-2,-5.0800000000000125,-5.079999999999984,8,-1.1500000000000004,-0.040000000000000036,1.0,-1.1,3,1,9.23,0.51,0.75,0.16666666666666666,0.25,0.5,0.0,0.3333333333333333,2.375,1.8333333333333333,0.5833333333333334,-0.25,-0.3333333333333333,0.5416666666666667,2,1482.4722370129884,1562.9010185991317,-80.42878158614326,1527.8442682475725,1499.5827550958645,28.26151315170796,4.58,3.48,1.1,0.33333333333333337,8.06,0.4583333333333333,0.375,0.16666666666666666,34.0,3.0,0,6,5.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,30,2.0,-0.5,1.0,0.5,1.0,1.0,2.0,155,19,11,140.0,-165.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Bryce Mitchell,Jean Silva,Blue,Jean Silva,Featherweight,MALE,SUB,Guillotine Choke,8,1,1,6,2,5,4,0,1,0,177.8,170.18,177.8,175.26,2.44,3.27,0.59,1.3,4.87,0.6,0.52,0.9,Southpaw,Orthodox,145,30,-4,3,2,-3,1,5,7.6200000000000045,2.5400000000000205,2,-2.43,0.06999999999999995,2.67,0.4,4,1,7.3100000000000005,0.5549999999999999,0.125,0.8,0.125,0.0,0.75,0.2,2.5,2.0,-0.675,0.125,0.55,0.5,5,1544.003954021022,1577.6572234821372,-33.65326946111509,1528.1418004028,1523.956752815218,4.185047587582176,1.64,4.73,-3.0900000000000007,-0.55,6.37,0.4625,0.0625,0.475,29.0,3.0,1,5,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,28,-4.0,-0.19999999999999996,1.0,0.8,1.0,1.0,0.0,145,25,10,170.0,-205.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Bryce Mitchell,Jean Silva,Blue,Jean Silva,Featherweight,MALE,SUB,Guillotine Choke,8,1,1,6,2,5,4,0,1,0,177.8,170.18,177.8,175.26,2.44,3.27,0.59,1.3,4.87,0.6,0.52,0.9,Southpaw,Orthodox,145,30,-4,3,2,-3,1,5,7.6200000000000045,2.5400000000000205,2,-2.43,0.06999999999999995,2.67,0.4,4,1,7.3100000000000005,0.5549999999999999,0.125,0.8,0.125,0.0,0.75,0.2,2.5,2.0,-0.675,0.125,0.55,0.5,5,1544.003954021022,1577.6572234821372,-33.65326946111509,1528.1418004028,1523.956752815218,4.185047587582176,1.64,2.93,-1.2900000000000003,-0.55,4.57,0.4625,0.0625,0.475,29.0,3.0,1,5,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,28,-4.0,-0.19999999999999996,1.0,0.8,1.0,1.0,0.0,145,25,10,170.0,-205.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Nikita Krylov,Dominick Reyes,Blue,Dominick Reyes,Light Heavyweight,MALE,KO/TKO,Punch,11,4,5,2,7,8,5,1,2,4,190.5,193.04,195.58,195.58,4.33,2.24,0.54,1.4,5.58,0.31,0.54,0.3,Orthodox,Southpaw,205,33,1,3,3,-1,4,0,-2.539999999999992,0.0,-2,-1.25,0.0,1.9300000000000002,1.0999999999999999,3,1,9.91,0.54,0.36363636363636365,0.625,0.45454545454545453,0.125,0.18181818181818182,0.25,1.7777777777777777,1.9166666666666667,-0.26136363636363635,0.32954545454545453,-0.06818181818181818,-0.13888888888888906,6,1530.0109760421994,1498.1876026616442,31.823373380555267,1514.0521491081986,1521.2842854649132,-7.232136356714591,2.47,3.77,-1.2999999999999998,0.06818181818181823,6.24,0.4943181818181818,0.2897727272727273,0.2159090909090909,34.0,2.5,3,2,2.5,5.0,0.0,1.0,2.0,3.0,0.0,1.0,35,-2.5,-0.05555555555555547,0.6666666666666666,0.6111111111111112,-3.0,1.0,1.0,205,32,23,-160.0,135.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
